Event	ID	Name			Wwise Object Path	Notes
	1461033	Play_2d_pv095_3D_BossDead			\Default Work Unit\VOICE_3D\Boss_Dead\Play_2d_pv095_3D_BossDead	
	1896462	Play_2d_pv018_3D_Resurrect			\Default Work Unit\VOICE_3D\Resurrect\Play_2d_pv018_3D_Resurrect	
	2145305	Play_BR_Koori			\Default Work Unit\SE\SKILL\Play_BR_Koori	
	4753959	Play_2d_pv202_3D			\Default Work Unit\VOICE_3D\Normal\Play_2d_pv202_3D	
	7602440	Play_2d_pv320_3D_Resurrect			\Default Work Unit\VOICE_3D\Resurrect\Play_2d_pv320_3D_Resurrect	
	10950995	Play_2d_pv108_3D_EnemyDead			\Default Work Unit\VOICE_3D\EN_Dead\Play_2d_pv108_3D_EnemyDead	
	12355461	Play_2d_pv139_3D_Dead			\Default Work Unit\VOICE_3D\Dead\Play_2d_pv139_3D_Dead	
	13510375	Play_2d_pv597_3D_EnemyDead			\Default Work Unit\VOICE_3D\EN_Dead\Play_2d_pv597_3D_EnemyDead	
	14582881	Play_SE_SYS_STONE_REMOVE			\Default Work Unit\SE\SYS\Play_SE_SYS_STONE_REMOVE	
	17926012	Play_2d_pv010_3D_BossDead			\Default Work Unit\VOICE_3D\Boss_Dead\Play_2d_pv010_3D_BossDead	
	18787892	Play_SP_Doku_Tokeru			\Default Work Unit\SE\SKILL\Play_SP_Doku_Tokeru	
	20782862	Play_SP_Hikou_Oikaze			\Default Work Unit\SE\SKILL\Play_SP_Hikou_Oikaze	
	22879085	Play_2d_pv030_3D_Dead			\Default Work Unit\VOICE_3D\Dead\Play_2d_pv030_3D_Dead	
	23850678	Play_2d_pv195_3D_Resurrect			\Default Work Unit\VOICE_3D\Resurrect\Play_2d_pv195_3D_Resurrect	
	24846383	Play_2d_pv372_3D_Resurrect			\Default Work Unit\VOICE_3D\Resurrect\Play_2d_pv372_3D_Resurrect	
	26014394	Play_2d_pv158_3D_EnemyDead			\Default Work Unit\VOICE_3D\EN_Dead\Play_2d_pv158_3D_EnemyDead	
	31004393	Play_2d_pv129_3D_Resurrect			\Default Work Unit\VOICE_3D\Resurrect\Play_2d_pv129_3D_Resurrect	
	34367618	Play_2d_pv247_3D_BossDead			\Default Work Unit\VOICE_3D\Boss_Dead\Play_2d_pv247_3D_BossDead	
	37046931	Play_2d_pv357_3D_Dead			\Default Work Unit\VOICE_3D\Dead\Play_2d_pv357_3D_Dead	
	43398568	Play_2d_pv373_3D_Resurrect			\Default Work Unit\VOICE_3D\Resurrect\Play_2d_pv373_3D_Resurrect	
	44733461	Play_2d_pv073_3D_BossDead			\Default Work Unit\VOICE_3D\Boss_Dead\Play_2d_pv073_3D_BossDead	
	45140167	Play_2d_pv119_3D_Dead			\Default Work Unit\VOICE_3D\Dead\Play_2d_pv119_3D_Dead	
	48017805	Play_2d_pv077_3D			\Default Work Unit\VOICE_3D\Normal\Play_2d_pv077_3D	
	48417003	Play_2d_pv376_3D_Resurrect			\Default Work Unit\VOICE_3D\Resurrect\Play_2d_pv376_3D_Resurrect	
	49616337	Play_SP_Iwa_Gansekihuuzi			\Default Work Unit\SE\SKILL\Play_SP_Iwa_Gansekihuuzi	
	53707580	Play_2d_pv001_3D			\Default Work Unit\VOICE_3D\Normal\Play_2d_pv001_3D	
	59051147	Play_2d_pv245_3D_Dead			\Default Work Unit\VOICE_3D\Dead\Play_2d_pv245_3D_Dead	
	59331474	Play_2d_pv227_3D			\Default Work Unit\VOICE_3D\Normal\Play_2d_pv227_3D	
	71214471	Play_2d_pv383_3D			\Default Work Unit\VOICE_3D\Normal\Play_2d_pv383_3D	
	71775758	Play_SE_SYS_PSTONE_RECYCLE			\Default Work Unit\SE\SYS\Play_SE_SYS_PSTONE_RECYCLE	
	72398146	Play_2d_pv311_3D_BossDead			\Default Work Unit\VOICE_3D\Boss_Dead\Play_2d_pv311_3D_BossDead	
	72691954	Play_2d_pv227_3D_Resurrect			\Default Work Unit\VOICE_3D\Resurrect\Play_2d_pv227_3D_Resurrect	
	73075083	Play_2d_pv112_3D			\Default Work Unit\VOICE_3D\Normal\Play_2d_pv112_3D	
	74478828	Play_2d_pv215_3D_Dead			\Default Work Unit\VOICE_3D\Dead\Play_2d_pv215_3D_Dead	
	76377059	Play_2d_pv088_3D_Resurrect			\Default Work Unit\VOICE_3D\Resurrect\Play_2d_pv088_3D_Resurrect	
	79746641	Play_2d_pv099_3D			\Default Work Unit\VOICE_3D\Normal\Play_2d_pv099_3D	
	81132857	Play_BGM_Stage_Clear			\Default Work Unit\BGM\Play_BGM_Stage_Clear	
	82085137	Play_SP_Dragon_Doragondaibu_Hit			\Default Work Unit\SE\SKILL\Play_SP_Dragon_Doragondaibu_Hit	
	83789112	Play_2d_pv052_3D_Resurrect			\Default Work Unit\VOICE_3D\Resurrect\Play_2d_pv052_3D_Resurrect	
	85478587	Play_2d_pv246_3D_BossDead			\Default Work Unit\VOICE_3D\Boss_Dead\Play_2d_pv246_3D_BossDead	
	85654740	Play_2d_pv009_3D_Resurrect			\Default Work Unit\VOICE_3D\Resurrect\Play_2d_pv009_3D_Resurrect	
	87001667	Play_2d_pv318_3D_BossDead			\Default Work Unit\VOICE_3D\Boss_Dead\Play_2d_pv318_3D_BossDead	
	90256207	Play_2d_pv282_3D			\Default Work Unit\VOICE_3D\Normal\Play_2d_pv282_3D	
	91319927	Play_2d_pv710_3D_BossDead			\Default Work Unit\VOICE_3D\Boss_Dead\Play_2d_pv710_3D_BossDead	
	97009515	Play_2d_pv044_3D_BossDead			\Default Work Unit\VOICE_3D\Boss_Dead\Play_2d_pv044_3D_BossDead	
	97259146	Play_2d_pv197_3D_BossDead			\Default Work Unit\VOICE_3D\Boss_Dead\Play_2d_pv197_3D_BossDead	
	98836555	Play_2d_pv116_3D_Resurrect			\Default Work Unit\VOICE_3D\Resurrect\Play_2d_pv116_3D_Resurrect	
	103752710	Play_SE_GAME_START			\Default Work Unit\SE\SYS\Play_SE_GAME_START	
